"user","longitude","latitude","Axe Temps","id","picture","datetaken"
"10533740@N03",4.8501,45.782,6263,"8876993667","http://farm6.staticflickr.com/5338/8876993667_8acbee5660_t.jpg","2012-07-17"
"10533740@N03",4.8509,45.762,5551,"8877019991","http://farm4.staticflickr.com/3744/8877019991_87a51c81d9_t.jpg","2010-08-17"
"10533740@N03",4.8512,45.777,6408,"8876964221","http://farm8.staticflickr.com/7337/8876964221_7362c05367_t.jpg","2012-12-07"
"10533740@N03",4.8512,45.777,6449,"8877577758","http://farm8.staticflickr.com/7379/8877577758_f590846276_t.jpg","2013-01-16"
"10533740@N03",4.8515,45.777,6408,"8876969193","http://farm4.staticflickr.com/3735/8876969193_df19cbff95_t.jpg","2012-12-07"
"10533740@N03",4.8515,45.778,6408,"8876966493","http://farm3.staticflickr.com/2827/8876966493_926c95ca25_t.jpg","2012-12-07"
"10533740@N03",4.8517,45.777,6408,"8876970327","http://farm9.staticflickr.com/8536/8876970327_3d12c51ca0_t.jpg","2012-12-07"
"10533740@N03",4.8519,45.778,6263,"8877620344","http://farm4.staticflickr.com/3736/8877620344_5d7c967f7f_t.jpg","2012-07-17"
"10533740@N03",4.852,45.777,6408,"8876974309","http://farm6.staticflickr.com/5339/8876974309_6d1f97b00f_t.jpg","2012-12-07"
"10533740@N03",4.8521,45.778,6263,"8877014591","http://farm8.staticflickr.com/7314/8877014591_90ccd51e0e_t.jpg","2012-07-17"
"10533740@N03",4.8522,45.783,6263,"8877611652","http://farm4.staticflickr.com/3758/8877611652_f1a2b4f2c5_t.jpg","2012-07-17"
"10533740@N03",4.8527,45.777,6263,"8877015889","http://farm3.staticflickr.com/2869/8877015889_734409dcf0_t.jpg","2012-07-17"
"10533740@N03",4.8527,45.777,6408,"8876975595","http://farm3.staticflickr.com/2887/8876975595_7e26b01402_t.jpg","2012-12-07"
"10533740@N03",4.8534,45.784,6263,"8876998307","http://farm4.staticflickr.com/3715/8876998307_4355a4b0b5_t.jpg","2012-07-17"
"10533740@N03",4.8537,45.777,6408,"8876977139","http://farm9.staticflickr.com/8261/8876977139_0d25347d10_t.jpg","2012-12-07"
"10533740@N03",4.8542,45.777,6408,"8877595760","http://farm6.staticflickr.com/5340/8877595760_e3c0d80a93_t.jpg","2012-12-07"
"10533740@N03",4.8542,45.783,6263,"8877619166","http://farm3.staticflickr.com/2872/8877619166_2efef90e9c_t.jpg","2012-07-17"
"10533740@N03",4.8543,45.777,6408,"8876981125","http://farm9.staticflickr.com/8537/8876981125_176b2cbdd9_t.jpg","2012-12-07"
"10533740@N03",4.8545,45.776,6408,"8877598346","http://farm8.staticflickr.com/7389/8877598346_38585aecce_t.jpg","2012-12-07"
"10533740@N03",4.8545,45.783,6263,"8877621638","http://farm4.staticflickr.com/3744/8877621638_b432e16e78_t.jpg","2012-07-17"
"10533740@N03",4.8555,45.774,6408,"8876990129","http://farm6.staticflickr.com/5449/8876990129_b6a2aa2b28_t.jpg","2012-12-07"
"10533740@N03",4.8556,45.783,6263,"8877010161","http://farm3.staticflickr.com/2816/8877010161_349b8e1b22_t.jpg","2012-07-17"
"10533740@N03",4.8557,45.774,6408,"8876983965","http://farm3.staticflickr.com/2874/8876983965_a4aba4032b_t.jpg","2012-12-07"
"10533740@N03",4.8558,45.774,6263,"8877018341","http://farm8.staticflickr.com/7434/8877018341_860fc19816_t.jpg","2012-07-17"
"10533740@N03",4.8558,45.783,6263,"8877007289","http://farm8.staticflickr.com/7359/8877007289_57ee1c5daa_t.jpg","2012-07-17"
"10533740@N03",4.8563,45.774,6408,"8876992519","http://farm6.staticflickr.com/5449/8876992519_33b04bb787_t.jpg","2012-12-07"
"10550136@N05",4.8315,45.763,4281,"947160713","http://farm2.staticflickr.com/1190/947160713_aedae98ad8_t.jpg","2007-03-18"
"10550136@N05",4.9061,45.728,5477,"4674243758","http://farm5.staticflickr.com/4067/4674243758_3726161d10_t.jpg","2010-06-06"
"10592220@N03",4.8335,45.768,4422,"1026469762","http://farm2.staticflickr.com/1277/1026469762_91eac1e96f_t.jpg","2007-08-04"
"10592220@N03",4.8335,45.768,4423,"1026615776","http://farm2.staticflickr.com/1267/1026615776_e9481a5df7_t.jpg","2007-08-06"
"10611153@N00",4.8161,45.772,5071,"3504348435","http://farm4.staticflickr.com/3641/3504348435_b07be799a7_t.jpg","2009-05-02"
"10611153@N00",4.8192,45.76,5069,"3500890867","http://farm4.staticflickr.com/3390/3500890867_64efb8fe64_t.jpg","2009-05-01"
"10611153@N00",4.8196,45.759,5069,"3500885279","http://farm4.staticflickr.com/3545/3500885279_312e3c6021_t.jpg","2009-05-01"
"10611153@N00",4.8198,45.771,5071,"3504332235","http://farm4.staticflickr.com/3347/3504332235_c7e6218b46_t.jpg","2009-05-02"
"10611153@N00",4.8199,45.759,5069,"3500877095","http://farm4.staticflickr.com/3318/3500877095_f5c8c05cc1_t.jpg","2009-05-01"
"10611153@N00",4.82,45.76,5069,"3500852235","http://farm4.staticflickr.com/3626/3500852235_04f1675491_t.jpg","2009-05-01"
"10611153@N00",4.8217,45.762,5069,"3501716226","http://farm4.staticflickr.com/3369/3501716226_9616dbb971_t.jpg","2009-05-01"
"10611153@N00",4.8222,45.762,5069,"3500910465","http://farm4.staticflickr.com/3608/3500910465_0b81f576f3_t.jpg","2009-05-01"
"10611153@N00",4.8223,45.762,5069,"3500926597","http://farm4.staticflickr.com/3646/3500926597_08ec54cf54_t.jpg","2009-05-01"
"10611153@N00",4.8225,45.762,5069,"3500962759","http://farm4.staticflickr.com/3345/3500962759_b47ec9ed52_t.jpg","2009-05-01"
"10611153@N00",4.8226,45.762,5069,"3504080195","http://farm4.staticflickr.com/3339/3504080195_f8401cf391_t.jpg","2009-05-01"
"10611153@N00",4.8226,45.763,5069,"3501758436","http://farm4.staticflickr.com/3605/3501758436_61a0b1748d_t.jpg","2009-05-01"
"10611153@N00",4.8227,45.762,5069,"3500985809","http://farm4.staticflickr.com/3374/3500985809_b9c1f663fa_t.jpg","2009-05-01"
"10611153@N00",4.8228,45.762,5069,"3500978435","http://farm4.staticflickr.com/3297/3500978435_59c75a9966_t.jpg","2009-05-01"
"10611153@N00",4.8229,45.762,5069,"3501824964","http://farm4.staticflickr.com/3621/3501824964_30edfcc876_t.jpg","2009-05-01"
"10611153@N00",4.8237,45.762,5070,"3504086219","http://farm4.staticflickr.com/3311/3504086219_036fd2f5c8_t.jpg","2009-05-01"
"10611153@N00",4.8265,45.754,5069,"3501518690","http://farm4.staticflickr.com/3582/3501518690_da7522ccea_t.jpg","2009-05-01"
"10611153@N00",4.8267,45.761,5070,"3504126727","http://farm4.staticflickr.com/3573/3504126727_e0c4702493_t.jpg","2009-05-01"
"10611153@N00",4.8269,45.761,5070,"3504530201","http://farm4.staticflickr.com/3291/3504530201_14dda4ebee_t.jpg","2009-05-01"
"10611153@N00",4.8279,45.763,5070,"3504559075","http://farm4.staticflickr.com/3642/3504559075_604e9e1401_t.jpg","2009-05-01"
"10611153@N00",4.8281,45.763,5070,"3505372008","http://farm4.staticflickr.com/3301/3505372008_34ee8f8881_t.jpg","2009-05-01"
"10611153@N00",4.8321,45.758,5071,"3504154027","http://farm4.staticflickr.com/3373/3504154027_273a67f96d_t.jpg","2009-05-03"
"10611153@N00",4.8324,45.758,5071,"3504962426","http://farm4.staticflickr.com/3577/3504962426_4c5e89cc0f_t.jpg","2009-05-03"
"10611153@N00",4.8333,45.767,5071,"3504248747","http://farm4.staticflickr.com/3118/3504248747_5dce79c23c_t.jpg","2009-05-02"
"10611153@N00",4.8334,45.767,5071,"3504273075","http://farm4.staticflickr.com/3613/3504273075_4c6b1eb803_t.jpg","2009-05-02"
"10611153@N00",4.8335,45.767,5071,"3505041186","http://farm4.staticflickr.com/3307/3505041186_28214d41a7_t.jpg","2009-05-02"
